idx,pair,direction,entries,entry_avg,targets,stop_loss,stop_loss_percent,rr_first_target,skipped,warnings
59,GALA/USDT,SHORT,[0.0355],0.0355,"[0.0353, 0.0352, 0.0348, 0.0338, 0.032, 0.0312]",0.039,,1.2286,False,"[""Direction auto-corrected based on price logic.""]"
60,SAND/USDT,LONG,[0.758],0.758,"[1.01, 1.4, 2.6]",0.7201,5.0,6.6491,False,[]
61,ENJ/USDT,LONG,"[0.36, 0.345]",0.3525,"[0.38, 0.396, 0.417]",0.32,,0.8462,False,[]
62,ETHFI/USDT,LONG,[1.199],1.199,"[1.302, 1.344, 1.413, 1.483, 1.541, 1.612, 1.695, 1.8, 1.912, 2.048]",1.144,,1.8727,False,[]
63,ETH/USDT,SHORT,"[2295.0, 2305.0]",2300.0,"[2280.0, 2260.0, 2220.0, 2180.0]",2355.0,,2.1818,False,[]
64,QTUM/USDT,LONG,"[2.178, 1.9]",2.039,[],1.8,,,False,[]
65,ETH/USD,LONG,"[2402.4, 2419.3]",2410.85,[],2368.6,,,False,[]
66,ATOM/USDT,LONG,[4.712],4.712,[],37.0,,,False,"[""Stop-loss is not below entry for LONG.""]"
67,COTI/USDT,LONG,[],,[],0.07,,,False,[]
68,ETH/USDT,SHORT,"[3360.57, 3397.44]",3379.005,"[3345.8, 3329.13, 3313.2, 3301.3, 3282.4]",3420.0,,2.3565,False,[]
69,JTO/USDT,LONG,"[3.684, 2.7661]",3.22505,"[3.9857, 4.6044, 4.9843, 5.5538]",1.8447,,0.5511,False,[]
70,,,[],,[],,,,False,"[""PARSE_FAILED""]"
71,,,[],,[],,,,False,"[""PARSE_FAILED""]"
72,,,[],,[],,,,False,"[""PARSE_FAILED""]"
73,AR/USDT,LONG,[4.165],4.165,"[4.869, 6.469, 6.664, 60.0]",1.666,60.0,0.2817,False,[]
74,LOOM/USDT,LONG,[],,"[0.05771, 0.05919, 0.06453]",0.05552,,,False,[]
75,,,[],,[],,,,False,"[""PARSE_FAILED""]"
76,,,[],,[],,,,False,"[""PARSE_FAILED""]"
77,,,[],,[],,,,False,"[""PARSE_FAILED""]"
78,COMP/USDT,LONG,[33.4],33.4,"[33.53, 33.66, 33.8, 34.06, 34.73]",31.35,,0.0634,False,[]
79,IMX/USDT,LONG,[0.4545],0.4545,"[0.4563, 0.4581, 0.4599, 0.4635, 0.4726]",0.426,,0.0632,False,[]
80,MTL/USDT,LONG,[2.31],2.31,"[2.5, 2.61, 2.8]",2.1,,0.9048,False,[]
81,DODO/USDT,LONG,[0.93],0.93,"[0.98, 1.05]",0.84,,0.5556,False,[]
82,SAND/USDT,LONG,[],,"[0.241, 0.253, 0.2666, 0.273, 0.2861, 0.2982]",0.241,,,False,[]
83,VIC/USDT,LONG,[],,"[0.2437, 0.252, 0.2565, 0.2715, 0.2811, 0.2941]",0.2437,,,False,[]
84,BTC/USDT,LONG,"[35150.0, 38620.0]",36885.0,"[39000.0, 40000.0, 40800.0]",34393.0,,0.8487,False,[]
85,,,[],,[],,,,False,"[""PARSE_FAILED""]"
86,HOT/USDT,LONG,[],,"[0.002901, 0.002929, 0.002958, 0.003001, 0.003029, 0.003072]",,10.0,,False,[]
87,ADA/USDT,LONG,"[0.5164, 0.5135]",0.51495,"[0.5206, 0.5265, 0.534, 0.5467, 0.552, 0.5664]",0.4795,,0.1594,False,[]
88,CHILLGUY/USDT,SHORT,[0.037375],0.037375,"[0.034415, 0.032358, 0.028143]",0.040336,,3.1179,False,[]
89,BTC/USDT,SHORT,[98385.0],98385.0,"[97052.0, 95412.0, 93386.0]",100052.0,,2.9988,False,[]
90,,,[],,[],,,,False,"[""PARSE_FAILED""]"
91,PENGU/USDT,SHORT,[],,"[0.00465, 0.0046, 0.00455, 0.00448, 0.00443, 0.00436]",,10.0,,False,[]
92,GALA/USDT,LONG,[0.1916],0.1916,"[0.19505, 0.1988, 0.211, 0.234]",0.168,,0.1462,False,[]
93,DOT/USDT,LONG,[18.6],18.6,"[18.95, 19.3, 20.4, 22.75]",16.0,,0.1346,False,[]
94,BRETT/USDT,LONG,[0.03586],0.03586,"[0.03658, 0.03694, 0.03729, 0.03765]",0.034067,5.0,0.4016,False,[]
95,SOL/USDT,SHORT,"[95.0, 100.0]",97.5,"[90.25, 85.5, 80.75]",105.0,,2.2333,False,[]
96,OGN/USDT,LONG,[6385.0],6385.0,"[6410.0, 6435.0, 6515.0, 6640.0]",6000.0,,0.0649,False,[]
97,ENA/USDT,LONG,[],,[3.65],,,,False,[]
98,,,[],,[],,,,False,"[""PARSE_FAILED""]"
99,,,[],,[],,,,False,"[""PARSE_FAILED""]"
100,SNX/USDT,LONG,"[1.674, 1.969]",1.8215,"[2.186, 2.382, 2.579]",1.477,,1.0581,False,[]
101,LPT/USDT,LONG,"[5.91, 6.95]",6.43,"[7.71, 8.41, 9.1]",5.21,,1.0492,False,[]
102,KSM/USDT,SHORT,[17.09],17.09,"[16.7056, 16.4512, 16.1968, 15.4336]",17.6864,,2.7773,False,[]
103,BAND/USDT,LONG,"[11.7, 15.5, 13.9, 11.7]",13.2,"[17.0, 18.5, 19.7, 20.3]",11.5,,2.2353,False,[]
104,MYX/USDT,LONG,"[0.336, 0.328]",0.332,"[0.344, 0.352, 0.36, 0.368, 0.376]",0.32,,1.0,False,[]
105,ENA/USDT,LONG,"[0.621, 0.611]",0.616,"[0.631, 0.641, 0.651, 0.661, 0.671]",0.601,,1.0,False,[]
106,EGLD/USDT,LONG,[],,"[11.485, 12.108, 12.784, 13.324, 13.756, 14.041, 14.345, 14.789, 50.0]",,100.0,,False,[]
107,XTZ/USDT,LONG,[],,"[0.737, 0.747, 0.76, 0.774, 0.789, 0.811, 0.848]",,100.0,,False,[]
108,MYX/USDT,LONG,"[0.336, 0.328]",0.332,"[0.344, 0.352, 0.36, 0.368, 0.376]",0.32,,1.0,False,[]
109,GTC/USDT,LONG,[],,"[2.07, 2.09, 2.11, 2.14, 2.16, 2.19]",,10.0,,False,[]
110,RVN/BTC,LONG,[220.0],220.0,"[250.0, 280.0, 315.0, 340.0]",200.0,,1.5,False,[]
111,PEOPLE/USDT,LONG,"[0.02445, 0.02415]",0.0243,[],0.0235,,,False,[]
112,AR/USDT,SHORT,[37.44],37.44,"[36.85, 36.15, 35.42]",38.15,,2.8451,False,[]
113,AUDIO/USDT,SHORT,[0.8595],0.8595,"[0.843, 0.8195, 0.8055]",0.875,,3.4839,False,[]
114,ATOM/USDT,LONG,"[30.947, 30.947]",30.947,"[2.5, 15.0, 31.101, 31.565, 31.720675, 31.875, 34.0417, 35.58905]",28.625975,7.5,12.2562,False,[]
115,ATOM/USDT,LONG,"[31.495, 31.495]",31.495,"[2.5, 31.652, 32.282375]",29.132875,7.5,12.275,False,[]
116,WAXP/USDT,LONG,[],,"[0.0642, 0.065, 0.067, 0.069, 0.072]",,,,False,[]
117,,,[],,[],,,,False,"[""PARSE_FAILED""]"
118,ICP/USDT,LONG,"[4.89, 4.9]",4.895,"[4.92, 4.95, 5.05, 5.1, 5.14, 5.56]",4.51,,0.0649,False,[]
119,HOT/USDT,LONG,"[0.000934, 0.000932]",0.000933,"[0.000938, 0.000943, 0.000952, 0.000962, 0.000971, 0.00098]",0.000859,,0.0676,False,[]
120,BNB/USDT,SHORT,[],,"[850.3, 833.7, 809.6, 766.6]",,1.79,,False,[]
121,A2Z/USDT,LONG,"[5495.0, 5170.0]",5332.5,"[6003.0, 6607.0, 7334.0]",4990.0,,1.9577,False,[]
122,ACT/USDT,SHORT,[],,"[408.0, 392.0, 381.0, 371.0, 353.0, 323.0, 286.0, 216.0]",434.0,,,False,[]
123,SOL/USDT,SHORT,[],,[],209.1,,,False,[]
124,SNEK/USDT,LONG,"[0.0041276, 0.00499184]",0.00455972,"[0.005830514, 0.00621441, 0.0071108833, 0.0075791, 0.0095448619, 0.01017351]",0.0036445842,20.07,1.3886,False,[]
125,BTC/USDT,SHORT,"[119630.0, 118620.0]",119125.0,"[118284.28, 118063.36, 117852.44, 116841.52, 107494.2, 98894.66]",125081.25,5.0,3.3965,False,[]
126,SCR/USDT,SHORT,[0.3372],0.3372,"[0.3305, 0.3271, 0.3237, 0.3203, 0.20232, 0.13488, 0.06744, 0.0]",0.35406,5.0,20.0,False,[]
127,,,[],,[],,,,False,"[""PARSE_FAILED""]"
128,BNB/USDT,SHORT,"[0.2955, 0.2995]",0.2975,"[847.4546, 838.851, 830.2474, 817.342, 808.7384, 795.833, 0.2916, 0.2874, 0.2833]",0.32725,10.0,0.4773,False,[]
129,ENJ/USDT,SHORT,[],,"[0.0701, 0.0674]",0.0714,,,False,[]
130,BTC/USDT,LONG,"[117309.41, 117409.64]",117359.525,"[117996.69, 118583.74, 119757.83, 120931.93, 122106.03, 123280.12, 133142.53]",108016.87,,0.0682,False,[]
131,,,[],,[],,,,False,"[""PARSE_FAILED""]"
132,YFI/USDT,SHORT,"[5253.0, 5320.0]",5286.5,"[5160.0, 5080.0, 5000.0, 4880.0]",5400.0,,3.5815,False,[]
133,APE/USDT,SHORT,[0.5664],0.5664,"[0.5636, 0.5607, 0.5579, 0.4814]",0.6004,,2.5,False,[]
134,BRETT/USDT,SHORT,[0.05075],0.05075,"[0.0486, 0.0464, 0.0444, 0.042]",0.053,,3.8889,False,[]
135,LINK/USDT,LONG,"[23.4, 23.5]",23.45,"[24.0, 24.8, 25.6, 26.5, 27.6]",21.7,,0.3143,False,[]
136,LINK/USDT,LONG,"[23.4, 23.5]",23.45,"[24.0, 24.8, 25.6, 26.5, 27.6]",21.7,,0.3143,False,[]
137,FIS/USDT,LONG,[0.12115],0.12115,"[0.12281, 0.12404, 0.12571, 0.128, 0.1324]",0.11496,,0.2682,False,[]
138,AXS/USDT,SHORT,[],,"[2.4182, 2.303]",2.4642,,,False,[]
139,BNB/USDT,SHORT,[],,"[850.3, 833.7, 809.6, 766.6]",,1.79,,False,[]
140,GHST/USDT,LONG,[],,[],4300.0,,,False,[]
141,BTC/USDT,LONG,"[113307.0, 113400.0]",113353.5,"[113786.6, 114800.0, 117364.9]",111960.1,,0.3108,False,[]
142,XLM/USDT,SHORT,"[0.48171, 0.46768]",0.474695,[],0.50041,,,False,[]
143,,,[],,[],,,,False,"[""PARSE_FAILED""]"
144,RLC/USDT,SHORT,"[1.46, 1.45]",1.455,[],1.54,,,False,[]
145,,,[],,[],,,,False,"[""PARSE_FAILED""]"
146,IOST/USDT,LONG,"[0.38, 0.39]",0.385,"[0.397, 0.403, 0.419]",0.365,,0.6,False,[]
147,IOST/USDT,LONG,"[0.38, 0.39]",0.385,"[0.397, 0.403, 0.419, 0.48, 0.54]",4.0,,0.0033,False,"[""Stop-loss is not below entry for LONG.""]"
148,,,[],,[],,,,False,"[""PARSE_FAILED""]"
149,KERNEL/USDT,LONG,"[0.143, 0.145]",0.144,"[0.159, 0.1825, 0.204, 0.2278, 0.248, 0.2634, 0.2796, 0.2987]",0.1215,,0.6667,False,[]
150,ZIG/USDT,LONG,"[0.11, 0.105]",0.1075,"[0.115, 0.125, 0.14, 0.17, 0.2, 0.28]",0.092,,0.4839,False,[]
151,BTC/USDT,SHORT,"[117342.0, 117770.0]",117556.0,"[117770.0, 117342.0, 116413.0, 115488.0, 114211.0, 113470.0, 112582.0]",118682.0,,4.4174,False,[]
152,BTC/USDT,SHORT,"[117342.0, 117770.0]",117556.0,"[117770.0, 117342.0, 116413.0, 115488.0, 114211.0, 113470.0, 112582.0]",118682.0,,4.4174,False,[]
153,KUCOIN/USD,LONG,[],,"[20.0, 51.0, 55.08, 59.49, 64.25, 69.38]",17.1,,,False,[]
154,JASMY/USDT,SHORT,[],,"[0.009755, 0.009656, 0.009557, 0.009409, 0.00931, 0.009161]",,10.0,,False,[]
155,,,[],,[],,,,False,"[""PARSE_FAILED""]"
156,,,[],,[],,,,False,"[""PARSE_FAILED""]"
157,MVL/USDT,SHORT,"[0.00392, 0.004117]",0.0040185,"[0.003879, 0.00384, 0.0038, 0.003761, 0.003722, 0.003683, 0.003644, 0.003604, 0.003565, 0.003526]",0.004173,,3.1877,False,[]
158,NEAR/USDT,LONG,[3.2],3.2,"[3.5, 3.63, 3.7, 3.78, 3.85, 3.95, 4.1]",2.705,,0.6061,False,[]
159,WAVES/USDT,LONG,[],,"[1.35966, 1.37312, 1.38659, 1.40005, 1.41351, 1.54813, 1.68275, 1.81737, 2.0193]",,10.0,,False,[]
160,BEL/USDT,LONG,"[8370.0, 8000.0]",8185.0,"[8450.0, 8600.0, 8850.0]",7800.0,,0.6883,False,[]
161,YGG/USDT,LONG,"[0.1951, 0.1875]",0.1913,"[0.1977, 0.2029, 0.2088, 0.2148, 0.2248, 0.2351]",0.1836,,0.8312,False,[]
162,,,[],,[],,,,False,"[""PARSE_FAILED""]"
163,NEIRO/USDT,SHORT,"[122876.0, 121818.0]",122347.0,"[120947.0, 118379.0, 115811.0, 113242.0, 104182.64]",129324.0,,2.6035,False,[]
164,SUI/USDT,SHORT,"[1.58, 1.65]",1.615,"[1.56, 1.55, 1.54, 1.5, 1.49, 1.47, 1.44, 1.42, 1.4]",1.8,,1.1622,False,[]
165,,,[],,[],,,,False,"[""PARSE_FAILED""]"
166,SHELL/USDT,LONG,[0.1231],0.1231,"[0.124331, 0.1248]",0.116945,5.0,0.2,False,[]
167,W/USDT,,[],,[],,,,True,[]
168,BANK/USDT,LONG,"[0.0788, 0.0786]",0.0787,"[0.0799, 0.0808, 0.0817, 0.0828, 0.0842, 0.0855]",0.0753,,0.3529,False,[]
169,BTC/USDT,SHORT,"[118220.0, 121766.6]",119993.3,"[114673.4, 111126.8, 107580.2, 104033.6]",124593.099,,3.4697,False,[]
170,,,[],,[],,,,False,"[""PARSE_FAILED""]"
171,CAKE/USDT,LONG,"[2.56, 2.64]",2.6,"[2.66, 2.73, 2.81, 2.89, 2.97, 3.21, 3.47]",2.46,,0.4286,False,[]
172,SUI/USDT,LONG,[3.47],3.47,"[3.8, 4.4, 5.0, 6.0, 7.0]",3.3,,1.9412,False,[]
173,FIDA/USDT,LONG,"[0.089, 0.0953, 0.0952]",0.0931666667,"[0.0995, 0.104, 0.114]",0.085,,0.7755,False,[]
174,,,[],,[],,,,False,"[""PARSE_FAILED""]"
175,,,[],,[],,,,False,"[""PARSE_FAILED""]"
176,,,[],,[],,,,False,"[""PARSE_FAILED""]"
177,LTC/USDT,SHORT,[114.75],114.75,"[108.3, 99.47, 91.0, 80.85]",125.68,,3.1016,False,[]
178,FIL/USDT,LONG,"[3.343, 2.25]",2.7965,"[2.45, 2.613, 2.852]",2.174,,0.5566,False,[]
179,ETH/USDT,SHORT,[4775.0],4775.0,"[4705.0, 4600.0, 4400.0, 4000.0]",4871.0,,8.0729,False,[]
180,KUCOIN/USDT,LONG,[],,"[20.0, 51.0, 55.08, 59.49, 64.25, 69.38]",17.1,,,False,[]
181,BAND/USDT,SHORT,[1.936],1.936,"[1.915, 1.9, 1.87, 1.85]",1.99,,1.5926,False,[]
182,FIS/USDT,LONG,[0.1177],0.1177,"[0.11913, 0.12038, 0.122, 0.12436, 0.12659]",0.11159,,0.234,False,[]
183,ESPORTS/USDT,LONG,"[0.181, 0.1765]",0.17875,[],0.1755,,,False,[]
184,NEAR/USDT,SHORT,"[2.406, 2.4]",2.403,"[2.379, 2.353, 2.334, 2.304, 2.282, 2.255]",2.55,,1.0068,False,[]
185,MAGIC/USDT,SHORT,"[0.182928, 0.1776]",0.180264,[],0.190032,,,False,[]
186,LUNA/USDT,LONG,"[45.32, 43.2]",44.26,"[45.8, 46.2, 46.8, 48.0, 50.0, 52.0, 55.0]",40.5,,0.4096,False,[]
187,SKL/USDT,LONG,"[0.341, 0.32]",0.3305,"[0.348, 0.355, 0.365, 0.37, 0.386, 0.4, 0.42, 0.46]",0.3,,0.5738,False,[]
188,XLM/USDT,LONG,"[0.256, 0.265]",0.2605,"[0.3, 0.355, 0.45, 0.543]",0.2,,0.6529,False,[]
189,GHST/USDT,SHORT,[],,"[0.37548, 0.37167, 0.36786, 0.36214, 0.35833, 0.35261]",,10.0,,False,[]
190,,,[],,[],,,,False,"[""PARSE_FAILED""]"
191,RUNE/USDT,SHORT,"[4.3626, 4.4005]",4.38155,[],4.6314,,,False,[]
192,,,[],,[],,,,False,"[""PARSE_FAILED""]"
193,ENA/USDT,LONG,"[0.349, 0.342]",0.3455,[],0.33,,,False,[]
194,ICX/USDT,LONG,[0.1665],0.1665,"[0.1673325, 0.168165, 0.1703295, 0.1716615, 0.1743255, 0.175824]",0.1573425,,0.0909,False,[]
195,LTC/USDT,LONG,"[120.25, 123.97]",122.11,[],115.2921,,,False,[]
196,FUN/USDT,LONG,[],,"[0.0092033, 0.009488, 0.0095424, 0.0097406, 0.0099389, 0.0101371]",0.0088902,,,False,[]
197,RARE/USDT,SHORT,"[0.06505, 0.0667]",0.065875,"[0.06439, 0.06369, 0.06296, 0.06132, 0.06068, 0.06007]",0.068,,2.7318,False,[]
198,,,[],,[],,,,False,"[""PARSE_FAILED""]"
199,RAD/USDT,LONG,"[2000.0, 1850.0]",1925.0,"[2020.0, 2060.0, 2250.0]",1780.0,,0.6552,False,[]
200,LPT/USDT,LONG,[],,"[3.8367, 3.8745, 3.9123, 3.969, 4.0068, 4.0635]",,10.0,,False,[]
201,SKL/USDT,LONG,"[0.0438, 0.0415]",0.04265,"[0.0415, 0.0438, 0.04395, 0.0441, 0.0443, 0.04455, 0.04485, 0.04525, 0.0457, 0.0461]",0.0402,,0.4694,False,[]
202,FIL/USDT,LONG,[],,"[6.1, 6.17, 6.242, 6.267, 6.289, 6.32, 6.345, 6.37]",6.1,,,False,[]
203,POPCAT/USDT,LONG,[0.426],0.426,"[0.4627, 0.5155, 0.5297]",0.3817,,0.8284,False,[]
204,BIGTIME/USDT,SHORT,"[0.08, 0.08111]",0.080555,[],0.0886105,10.0,,False,[]
205,RSR/USDT,LONG,[],,"[0.006298, 0.006334, 0.006363, 0.0064, 0.0065, 0.0075]",0.0054,,,False,[]
206,MKR/USDT,SHORT,[],,"[962.0, 957.6]",973.0,,,False,[]
207,BTC/USDT,LONG,"[116000.0, 115000.0]",115500.0,[],113500.0,,,False,[]
208,XRP/USDT,SHORT,[2.2739],2.2739,[],2.355,,,False,[]
209,ME/USDT,SHORT,[0.7238],0.7238,"[0.7202, 0.7166, 0.7129, 0.7093, 0.7021, 0.6948, 0.6876, 0.6804, 0.6659]",0.76,,1.5994,False,[]
210,OG/USDT,LONG,[6.98],6.98,"[3.15, 7.19987, 7.2]",6.850172,1.86,29.5006,False,[]
211,,,[],,[],,,,False,"[""PARSE_FAILED""]"
212,,,[],,[],,,,False,"[""PARSE_FAILED""]"
213,DOGE/USDT,LONG,[],,"[0.27, 0.35, 0.48, 0.7]",0.15,,,False,[]
214,HBAR/USDT,LONG,[0.175],0.175,"[0.22, 0.27, 0.4]",0.14,,1.2857,False,[]
215,VET/USDT,LONG,"[0.02138, 0.02125]",0.021315,"[0.021486, 0.021593, 0.021807, 0.022021, 0.022235, 0.022449, 0.022662, 0.022876]",0.019669,,0.1039,False,[]
216,ZRX/USDT,LONG,[],,"[0.4521, 0.4566, 0.461, 0.4655, 0.47, 0.4745]",-0.4386,,,False,[]
217,CTK/USDT,LONG,[0.793],0.793,"[0.809, 0.83, 0.864, 0.898, 0.93]",0.793,,,False,"[""Stop-loss is not below entry for LONG.""]"
218,MKR/USDT,LONG,[827.55],827.55,"[830.86, 834.17, 839.14, 848.24, 860.65]",802.72,,0.1333,False,[]
219,EPS/USDT,LONG,[0.48],0.48,"[0.7, 0.8, 0.9, 11.0, 13.0, 62.0]",0.51,,7.3333,False,"[""Stop-loss is not below entry for LONG.""]"
220,RNDR/USDT,LONG,[1.1],1.1,"[1.35, 1.5, 1.6, 1.75, 1.85, 1.95, 2.2, 2.5]",0.95,,1.6667,False,[]
221,FLOW/USDT,LONG,[],,"[0.345, 0.353, 0.364, 0.368, 0.374, 0.381]",0.345,,,False,[]
222,ME/USDT,SHORT,[],,[],,,,False,[]
223,,,[],,[],,,,False,"[""PARSE_FAILED""]"
224,IOTX/USDT,LONG,"[0.0292, 0.0285]",0.02885,"[0.0295, 0.0297, 0.0299, 0.0304, 0.031]",0.0278,,0.619,False,[]
225,,,[],,[],,,,False,"[""PARSE_FAILED""]"
226,PORTAL/USDT,LONG,"[0.067, 0.063]",0.065,[],0.058,,,False,[]
227,ETH/USDT,LONG,"[3620.0, 3590.0]",3605.0,"[3650.0, 3680.0, 3705.0, 3750.0]",3550.0,,0.8182,False,[]
228,,,[],,[],,,,False,"[""PARSE_FAILED""]"
229,VIC/USDT,LONG,[],,"[0.275, 0.2795, 0.2917, 0.2971, 0.3031, 0.3171]",0.275,,,False,[]
230,LEVER/USDT,LONG,[],,"[20.0, 40.0, 60.0, 80.0, 100.0, 150.0]",,,,False,[]
231,ORDI/USDT,LONG,[53.0],53.0,"[53.0, 55.0, 57.0, 60.0, 63.0, 70.0]",50.0,,0.0,False,[]
232,,,[],,[],,,,False,"[""PARSE_FAILED""]"
